threshold,0.0005,0.00075,0.001,0.00125,0.0015,0.00175,0.002,0.00225,0.0025,0.00275,0.003,0.00325,0.0035,0.00375,0.004,0.00425,0.0045,0.00475
neganegr,0.056,0.063,0.127,0.167,0.147,0.129,0.141,0.137,0.145,0.142,0.154,0.158,0.152,0.144,0.073,0.071,0.071,0.071
posanegr,0.064,0.064,0.125,0.115,0.113,0.11,0.1,0.095,0.08,0.074,0.052,0.038,0.039,0.042,0.015,0.015,0.014,0.006
